num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2927	4358.901399	15.879209	-53.975477	-0.856729	0.389490
2929	4360.958285	16.029190	-53.243831	-0.849739	0.487673
2931	4363.022852	14.507981	-57.997763	-0.895829	0.288109
2933	4365.077242	18.120457	-49.128486	-0.777818	0.260466
2935	4367.142766	15.451307	-54.856430	-0.875309	0.270163
2937	4369.195499	16.058402	-54.349761	-0.866328	0.324284
2939	4371.263557	15.311083	-55.749706	-0.889555	0.364551
2941	4373.321585	15.285764	-55.373294	-0.888786	0.364752
2943	4375.371205	16.049590	-54.746930	-0.873188	0.356982
2945	4377.435177	15.515790	-54.789252	-0.883816	0.391490
2947	4379.498422	15.487587	-55.845708	-0.896749	0.409210
2949	4381.547250	16.059945	-54.309565	-0.874551	0.496513
2951	4383.601823	16.546790	-53.954961	-0.865819	0.397606
2953	4385.667081	16.234496	-54.969848	-0.885078	0.298025
2955	4387.721326	16.502828	-54.147338	-0.874875	0.431992
2957	4389.774072	17.020502	-53.478921	-0.860217	0.508818
2959	4391.833311	17.124343	-54.024282	-0.867164	0.394009
2961	4393.886747	17.723653	-53.745550	-0.855566	0.501677
2963	4395.947189	17.504961	-54.018117	-0.865312	0.359962
2965	4398.017177	16.521401	-54.804555	-0.887947	0.369695
2967	4400.078064	16.306371	-55.023994	-0.894108	0.385520
2969	4402.118075	17.776965	-53.121581	-0.855656	0.580104
2971	4404.193935	16.667056	-54.624180	-0.892436	0.281619
2973	4406.244852	17.112839	-54.578208	-0.886483	0.302118
2975	4408.305536	16.980714	-54.583868	-0.890763	0.394566
2977	4410.373364	16.216500	-55.141480	-0.909883	0.366368
2979	4412.414385	17.653789	-53.600566	-0.878709	0.495022
2981	4414.480010	17.164777	-54.617813	-0.894412	0.322936
2983	4416.557583	15.891905	-56.583260	-0.937173	0.270678
2985	4418.600952	16.811517	-54.618816	-0.903491	0.447643
2987	4420.646897	18.108381	-52.801795	-0.873050	0.487044
2989	4422.715093	17.259724	-54.904828	-0.906078	0.401742
2991	4424.773880	17.360166	-54.216258	-0.900699	0.269686
2993	4426.827118	17.641702	-53.835827	-0.892982	0.338180
2995	4428.902782	16.531592	-55.452529	-0.933626	0.273573
2997	4430.944587	17.572594	-53.421233	-0.897582	0.350779
2999	4433.013503	17.177208	-55.296254	-0.925576	0.360843
3001	4435.060824	17.795300	-53.593226	-0.898771	0.406582
3003	4437.129036	17.168603	-54.868707	-0.924057	0.375072
3005	4439.187655	17.577878	-54.874955	-0.919935	0.292264
3007	4441.251296	16.952279	-55.105468	-0.939147	0.359431
3009	4443.293053	18.405137	-54.037677	-0.904535	0.386650
3011	4445.367463	17.061019	-55.309527	-0.939659	0.235070
3013	4447.419868	17.472364	-54.559447	-0.928894	0.286792
3015	4449.486706	17.082702	-55.748023	-0.951541	0.210826
3017	4451.535730	17.702205	-54.529425	-0.928511	0.301839
3019	4453.595873	17.432701	-54.383393	-0.936525	0.460423
3021	4455.655015	17.409236	-54.614323	-0.943350	0.284111
3023	4457.733376	16.328178	-56.439186	-0.984708	0.127983
3025	4459.781598	17.060578	-55.302714	-0.964029	0.289620
3027	4461.845349	16.651985	-55.928227	-0.977823	0.232011
3029	4463.897391	17.339396	-55.737691	-0.965723	0.173405
3031	4465.934631	18.831935	-53.138297	-0.918032	0.342897
3033	4468.009629	17.389672	-54.710263	-0.962720	0.388865
3035	4470.063372	17.591079	-54.628700	-0.959309	0.236198
3037	4472.119260	18.249304	-53.912902	-0.945491	0.379844
3039	4474.188600	17.370796	-54.963000	-0.974851	0.358159
3041	4476.240706	17.812688	-55.117061	-0.966058	0.328737
3043	4478.301261	17.889365	-54.309602	-0.966905	0.217058
3045	4480.353345	18.213131	-54.190125	-0.960459	0.389533
3047	4482.402415	18.997835	-53.367860	-0.940334	0.354977
3049	4484.475239	18.029852	-54.411490	-0.971540	0.421043
3051	4486.524376	18.706172	-53.733116	-0.956306	0.473075
3053	4488.598232	17.668767	-55.138443	-0.994101	0.188479
3055	4490.653861	18.020672	-54.624269	-0.986688	0.297842
3057	4492.709617	18.032217	-54.295567	-0.981688	0.369955
3059	4494.766285	18.138758	-54.373316	-0.984622	0.301845
3061	4496.820671	18.447399	-54.118271	-0.976897	0.328636
3063	4498.898741	17.375854	-54.897546	-1.016190	0.187486
3065	4500.937974	18.554861	-54.123883	-0.981202	0.274885
3067	4502.990159	19.135694	-53.153981	-0.965852	0.361888
3069	4505.055779	18.617549	-54.244323	-0.988516	0.244860
3071	4507.130016	17.623689	-55.024925	-1.023962	0.258424
3073	4509.186491	17.624345	-54.606289	-1.022175	0.229743
3075	4511.252061	17.441486	-55.316399	-1.039038	0.144960
3077	4513.303934	17.702245	-55.091170	-1.029035	0.174641
3079	4515.365712	17.509880	-54.654028	-1.037595	0.274753
3081	4517.433923	17.280832	-55.632576	-1.057324	0.207662
3083	4519.482026	17.706121	-54.871246	-1.042815	0.307574
3085	4521.526042	18.412904	-54.026984	-1.014514	0.330450
3087	4523.591339	18.087321	-54.140083	-1.029903	0.190891
3089	4525.631360	19.259150	-52.705982	-0.990312	0.368069
3091	4527.695043	19.140897	-53.254803	-1.004864	0.273614
3093	4529.765968	18.454000	-54.496932	-1.034139	0.305943
3095	4531.826282	18.335177	-54.018658	-1.042635	0.213070
3097	4533.883013	18.414995	-54.564771	-1.041269	0.254314
3099	4535.945369	18.423495	-53.526748	-1.047699	0.163509
3101	4538.001648	18.540265	-54.131614	-1.048713	0.249480
3103	4540.049670	18.990135	-53.273338	-1.030434	0.255476
3105	4542.114447	18.628635	-53.789678	-1.045447	0.247371
3107	4544.174170	18.651693	-53.494607	-1.049081	0.324592
3109	4546.233100	18.641275	-54.015912	-1.054538	0.199694
3111	4548.296645	18.373183	-53.512210	-1.066893	0.241780
3113	4550.353197	18.682960	-53.783863	-1.064491	0.162906
3115	4552.407680	18.816157	-53.430679	-1.060302	0.269105
3117	4554.470565	18.467650	-53.859290	-1.072103	0.186667
3119	4556.525593	18.827375	-53.048363	-1.063766	0.208640
3121	4558.577592	19.176300	-52.716720	-1.052973	0.279805
3123	4560.655655	18.240930	-54.033312	-1.100144	0.121572
3125	4562.707343	18.692737	-53.765844	-1.088639	0.165887
3127	4564.758592	18.967682	-53.183297	-1.074269	0.180105
3129	4566.813156	19.197507	-52.705415	-1.067729	0.226545
3131	4568.876464	18.862114	-52.860174	-1.082528	0.229203
3133	4570.933255	19.083637	-52.723801	-1.079862	0.309640
3135	4573.005850	18.370971	-53.840771	-1.114277	0.292651
3137	4575.056820	18.909773	-53.015690	-1.099876	0.223517
3139	4577.113047	18.887567	-53.114303	-1.101268	0.173808
3141	4579.180597	18.675131	-53.179161	-1.117805	0.190809
3143	4581.231325	18.926445	-53.166687	-1.108809	0.157590
3145	4583.285715	19.187212	-52.451794	-1.103104	0.164584
3147	4585.338621	19.552021	-52.708663	-1.091406	0.323604
3149	4587.411307	18.863439	-52.913867	-1.126947	0.249628
3151	4589.451477	19.656203	-51.687400	-1.087723	0.206292
3153	4591.520128	19.291680	-52.591847	-1.114177	0.229231
3155	4593.576689	19.336972	-52.172278	-1.113997	0.358254
3157	4595.647540	18.990042	-52.598717	-1.139467	0.318002
3159	4597.718313	18.618288	-53.454666	-1.169624	0.152192
3161	4599.756339	19.243110	-52.495683	-1.130030	0.179866
3163	4601.820769	19.052656	-52.131413	-1.145239	0.184075
3167	4605.953324	18.744357	-52.623721	-1.181727	0.098879
3169	4608.005518	18.835542	-53.144062	-1.173373	0.131219
