crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.077774	2927	0.000000
281474976710655.000000	1.053514	2928	0.000000
281474976710655.000000	1.005527	2929	0.000000
281474976710655.000000	0.997097	2930	0.000000
281474976710655.000000	1.011690	2931	0.000000
281474976710655.000000	1.037592	2932	0.000000
281474976710655.000000	1.022027	2933	0.000000
281474976710655.000000	1.127078	2934	0.000000
281474976710655.000000	1.135147	2935	0.000000
281474976710655.000000	1.040713	2936	0.000000
281474976710655.000000	1.103565	2937	0.000000
281474976710655.000000	1.108558	2938	0.000000
281474976710655.000000	1.116449	2939	0.000000
281474976710655.000000	1.087233	2940	0.000000
281474976710655.000000	1.078424	2941	0.000000
281474976710655.000000	1.048886	2942	0.000000
281474976710655.000000	1.060104	2943	0.000000
281474976710655.000000	1.090376	2944	0.000000
281474976710655.000000	1.099842	2945	0.000000
281474976710655.000000	1.099176	2946	0.000000
281474976710655.000000	1.065756	2947	0.000000
281474976710655.000000	1.113342	2948	0.000000
281474976710655.000000	1.121377	2949	0.000000
281474976710655.000000	1.093295	2950	0.000000
281474976710655.000000	1.074510	2951	0.000000
281474976710655.000000	1.070573	2952	0.000000
281474976710655.000000	1.110342	2953	0.000000
281474976710655.000000	1.041528	2954	0.000000
281474976710655.000000	1.087170	2955	0.000000
281474976710655.000000	1.074777	2956	0.000000
281474976710655.000000	1.143480	2957	0.000000
281474976710655.000000	1.054343	2958	0.000000
281474976710655.000000	1.073068	2959	0.000000
281474976710655.000000	1.061374	2960	0.000000
281474976710655.000000	1.059048	2961	0.000000
281474976710655.000000	1.087375	2962	0.000000
281474976710655.000000	1.080509	2963	0.000000
281474976710655.000000	1.124961	2964	0.000000
281474976710655.000000	1.010287	2965	0.000000
281474976710655.000000	1.065832	2966	0.000000
281474976710655.000000	1.077236	2967	0.000000
281474976710655.000000	1.124766	2968	0.000000
281474976710655.000000	1.099392	2969	0.000000
281474976710655.000000	1.031566	2970	0.000000
281474976710655.000000	1.107245	2971	0.000000
281474976710655.000000	1.078947	2972	0.000000
281474976710655.000000	1.066830	2973	0.000000
281474976710655.000000	1.117165	2974	0.000000
281474976710655.000000	1.088881	2975	0.000000
281474976710655.000000	1.032085	2976	0.000000
281474976710655.000000	1.148536	2977	0.000000
281474976710655.000000	1.082800	2978	0.000000
281474976710655.000000	1.120054	2979	0.000000
281474976710655.000000	1.073566	2980	0.000000
281474976710655.000000	1.097706	2981	0.000000
281474976710655.000000	1.052028	2982	0.000000
281474976710655.000000	1.051355	2983	0.000000
281474976710655.000000	1.028385	2984	0.000000
281474976710655.000000	1.099778	2985	0.000000
281474976710655.000000	1.112929	2986	0.000000
281474976710655.000000	1.078463	2987	0.000000
281474976710655.000000	1.086517	2988	0.000000
281474976710655.000000	1.101886	2989	0.000000
281474976710655.000000	1.071765	2990	0.000000
281474976710655.000000	1.120542	2991	0.000000
281474976710655.000000	1.064901	2992	0.000000
281474976710655.000000	1.092423	2993	0.000000
281474976710655.000000	1.048808	2994	0.000000
281474976710655.000000	1.035763	2995	0.000000
281474976710655.000000	1.081702	2996	0.000000
281474976710655.000000	1.072323	2997	0.000000
281474976710655.000000	1.033481	2998	0.000000
281474976710655.000000	1.078278	2999	0.000000
281474976710655.000000	1.052289	3000	0.000000
281474976710655.000000	1.074594	3001	0.000000
281474976710655.000000	1.030299	3002	0.000000
281474976710655.000000	1.087307	3003	0.000000
281474976710655.000000	1.062917	3004	0.000000
281474976710655.000000	1.135929	3005	0.000000
281474976710655.000000	1.075123	3006	0.000000
281474976710655.000000	1.083195	3007	0.000000
281474976710655.000000	1.066171	3008	0.000000
281474976710655.000000	1.045745	3009	0.000000
281474976710655.000000	1.022617	3010	0.000000
281474976710655.000000	1.064104	3011	0.000000
281474976710655.000000	1.080989	3012	0.000000
281474976710655.000000	1.086633	3013	0.000000
281474976710655.000000	1.091690	3014	0.000000
281474976710655.000000	1.085495	3015	0.000000
281474976710655.000000	1.068050	3016	0.000000
281474976710655.000000	1.079270	3017	0.000000
281474976710655.000000	1.099808	3018	0.000000
281474976710655.000000	1.089283	3019	0.000000
281474976710655.000000	1.092559	3020	0.000000
281474976710655.000000	1.008217	3021	0.000000
281474976710655.000000	1.020942	3022	0.000000
281474976710655.000000	1.109609	3023	0.000000
281474976710655.000000	1.066246	3024	0.000000
281474976710655.000000	1.034520	3025	0.000000
281474976710655.000000	1.069234	3026	0.000000
281474976710655.000000	1.039406	3027	0.000000
281474976710655.000000	1.042973	3028	0.000000
281474976710655.000000	1.025559	3029	0.000000
281474976710655.000000	1.057527	3030	0.000000
281474976710655.000000	1.145798	3031	0.000000
281474976710655.000000	1.030414	3032	0.000000
281474976710655.000000	1.072042	3033	0.000000
281474976710655.000000	1.070197	3034	0.000000
281474976710655.000000	1.030308	3035	0.000000
281474976710655.000000	1.074705	3036	0.000000
281474976710655.000000	1.127378	3037	0.000000
281474976710655.000000	1.018529	3038	0.000000
281474976710655.000000	1.047921	3039	0.000000
281474976710655.000000	1.005688	3040	0.000000
