time (s)	det(V)
4360.245590	-0.004490	
4360.247590	-0.004094	
4360.251590	-0.004395	
4360.253589	-0.002048	
4360.255590	-0.005250	
4360.257589	-0.003487	
4360.259591	-0.006016	
4360.263589	-0.003794	
4360.265589	-0.004565	
4360.269591	-0.002446	
4360.271590	-0.003777	
4360.273590	-0.002093	
4360.275590	-0.003612	
4360.277590	-0.003907	
4360.281589	0.000054	
4360.283590	-0.001444	
4360.285590	0.000704	
4360.289590	-0.002910	
4360.291589	-0.001067	
4360.293590	-0.001877	
4360.295590	0.002014	
4360.297590	0.003152	
4360.299590	0.004029	
4360.303590	0.006683	
4360.307590	0.000084	
4360.309590	0.001850	
4360.311597	0.004882	
4360.313590	0.008386	
4360.315589	0.008006	
4360.319589	0.010324	
4360.321590	0.006222	
4360.323590	0.008604	
4360.325590	0.007760	
4360.327590	0.009241	
4360.329590	0.014344	
4360.331590	0.015722	
4360.333590	0.016170	
4360.335590	0.019754	
4360.337591	0.016916	
4360.339589	0.015376	
4360.343590	0.016796	
4360.345590	0.019737	
4360.347590	0.025248	
4360.349589	0.026255	
4360.351590	0.030291	
4360.353589	0.028157	
4360.355590	0.027781	
4360.357590	0.031575	
4360.359589	0.028032	
4360.361590	0.031768	
4360.363589	0.036799	
4360.367590	0.036486	
4360.369590	0.044592	
4360.371590	0.043851	
4360.373590	0.046712	
4360.375590	0.047905	
4360.379589	0.050222	
4360.381589	0.057229	
4360.383590	0.060500	
4360.387590	0.064827	
4360.389589	0.070419	
4360.391589	0.073750	
4360.393590	0.075155	
4360.395590	0.083503	
4360.399589	0.089007	
4360.401589	0.099961	
4360.405590	0.099052	
4360.407590	0.113393	
4360.409589	0.115249	
4360.411591	0.124843	
4360.413589	0.134004	
4360.417588	0.140293	
4360.419590	0.154500	
4360.421590	0.157948	
4360.425590	0.168068	
4360.427589	0.184987	
4360.429589	0.198522	
4360.431589	0.207322	
4360.433590	0.218607	
4360.435590	0.230738	
4360.439590	0.237321	
4360.443590	0.260235	
4360.445590	0.288105	
4360.447590	0.304277	
4360.449590	0.316020	
4360.451590	0.334323	
4360.455589	0.344654	
4360.457589	0.372541	
4360.459590	0.384636	
4360.461590	0.402219	
4360.463592	0.421349	
4360.465590	0.436659	
4360.467590	0.456974	
4360.469591	0.474867	
4360.471590	0.489391	
4360.473589	0.509377	
4360.475591	0.525752	
4360.477590	0.544134	
4360.481589	0.568163	
4360.483590	0.607735	
4360.485590	0.630908	
4360.487590	0.647169	
4360.489591	0.668005	
4360.491589	0.687846	
4360.495589	0.706880	
4360.497590	0.751665	
4360.499590	0.771715	
4360.503590	0.795220	
4360.505591	0.831907	
4360.507589	0.853175	
4360.509589	0.869697	
4360.511590	0.890995	
4360.513590	0.913301	
4360.517590	0.947701	
4360.521590	0.964231	
4360.523590	0.995085	
4360.525590	1.006793	
4360.527590	1.021010	
4360.529590	1.036907	
4360.533590	1.048533	
4360.535589	1.069606	
4360.537589	1.073523	
4360.539589	1.078630	
4360.541590	1.086861	
4360.543590	1.088815	
4360.545589	1.095870	
4360.547589	1.098329	
4360.549590	1.097063	
4360.553588	1.099284	
4360.555590	1.082825	
4360.557590	1.077320	
4360.559590	1.064599	
4360.561590	1.058407	
4360.563589	1.051893	
4360.565589	1.037014	
4360.567590	1.025293	
4360.569589	1.008685	
4360.573589	0.987685	
4360.575589	0.947557	
4360.579590	0.926704	
4360.581590	0.886190	
4360.583590	0.863394	
4360.585590	0.840387	
4360.587589	0.808860	
4360.591589	0.782549	
4360.593590	0.723018	
4360.595590	0.698432	
4360.597589	0.671003	
4360.599590	0.641099	
4360.601590	0.615964	
4360.603590	0.581323	
4360.605590	0.549314	
4360.607589	0.520112	
4360.609590	0.485273	
4360.611590	0.455677	
4360.613590	0.426507	
4360.617590	0.398265	
4360.619590	0.340107	
4360.621589	0.308059	
4360.623589	0.278967	
4360.625589	0.245673	
4360.627590	0.214699	
4360.631589	0.189155	
4360.633589	0.127292	
4360.635590	0.100772	
4360.639590	0.065529	
4360.641590	0.008215	
4360.643591	-0.025254	
4360.645590	-0.050421	
4360.647591	-0.077826	
4360.651589	-0.108536	
4360.653590	-0.172121	
4360.657591	-0.203554	
4360.659590	-0.265215	
4360.661589	-0.291802	
4360.663590	-0.318702	
4360.665590	-0.352091	
4360.669588	-0.379987	
4360.671590	-0.442733	
4360.673590	-0.471112	
4360.677590	-0.504001	
4360.679589	-0.559842	
4360.681590	-0.590724	
4360.683590	-0.621175	
4360.685589	-0.648767	
4360.687590	-0.682943	
4360.691589	-0.713597	
4360.695590	-0.774148	
4360.697590	-0.823379	
4360.699589	-0.852163	
4360.701590	-0.874078	
4360.703590	-0.904297	
4360.707589	-0.930308	
4360.709589	-0.981462	
4360.711590	-0.999515	
4360.715590	-1.016870	
4360.717590	-1.049014	
4360.719590	-1.065848	
4360.721590	-1.084042	
4360.723589	-1.095290	
4360.727589	-1.107078	
4360.731588	-1.121080	
4360.733590	-1.128870	
4360.735589	-1.127187	
4360.737590	-1.130196	
4360.739591	-1.128332	
4360.741590	-1.123572	
4360.743590	-1.120006	
4360.745590	-1.109680	
4360.747590	-1.099670	
4360.751589	-1.090409	
4360.753590	-1.065558	
4360.755590	-1.051400	
4360.757590	-1.033465	
4360.759589	-1.019639	
4360.761589	-0.999267	
4360.763590	-0.977459	
4360.765590	-0.958907	
4360.767590	-0.938121	
4360.771589	-0.917178	
4360.773590	-0.876859	
4360.775590	-0.853718	
4360.777590	-0.831475	
4360.779590	-0.804787	
4360.781589	-0.783187	
4360.783589	-0.758516	
4360.785590	-0.734737	
4360.787591	-0.717448	
4360.789592	-0.696938	
4360.793589	-0.672694	
4360.795590	-0.628762	
4360.797590	-0.604812	
4360.799589	-0.585220	
4360.801590	-0.562145	
4360.803590	-0.546018	
4360.805590	-0.528103	
4360.807590	-0.508093	
4360.809589	-0.494485	
4360.811589	-0.473815	
4360.813590	-0.455222	
4360.817590	-0.439801	
4360.819590	-0.408950	
4360.821589	-0.397847	
4360.823589	-0.381276	
4360.825591	-0.367755	
4360.829588	-0.354510	
4360.831590	-0.325865	
4360.833590	-0.313492	
4360.837590	-0.299505	
4360.839590	-0.279369	
4360.841589	-0.266943	
4360.843590	-0.257743	
4360.845589	-0.243997	
4360.847590	-0.232446	
4360.851590	-0.225371	
4360.855590	-0.208585	
4360.857589	-0.189507	
4360.859591	-0.184781	
4360.861590	-0.174108	
4360.863590	-0.163940	
4360.867589	-0.157325	
